semana,dia,tema,pilar,gancho,formato,plataforma_prioritaria,cta
1,segunda,"Milho caro está comendo a margem do leite?","dor economica","Milho caro nao e so problema da lavoura; ele aparece no tanque","Reel 45s com numero na tela","Instagram/Facebook","Peça a conta para sua região"
1,terca,"Sorgo x milho para silagem","comparativo","Quando o sorgo ganha do milho na conta?","Quadro comparativo","Instagram/YouTube Shorts","Comente sua região"
1,quarta,"Capiaçu é solução ou problema?","forrageiras","Capiaçu salva, mas manejo errado vira prejuizo","Aula curta no campo","Instagram/Facebook","Quer checklist de corte?"
1,quinta,"3 erros que fazem o silo perder dinheiro","silagem","O prejuizo começa antes do cocho","Lista rápida","Instagram/Facebook/YouTube Shorts","Salve para revisar no silo"
1,sexta,"Ração cara não resolve volumoso ruim","nutricao","Antes de comprar mais concentrado, olhe isso","Mini aula com cocho","Instagram/Facebook","Envie para quem produz leite"
1,sabado,"O que a vaca leiteira precisa no inverno","leite","Falta de pasto no frio exige planejamento","Reel explicativo","Instagram","Chame para planejar volumoso"
2,segunda,"Safra 2027: produtor do Sul vai esperar ou planejar?","planejamento","Quem deixa para ultima hora paga mais caro","Video direto","Facebook/Instagram","Fale com a gente"
2,terca,"Silagem bonita nem sempre é silagem boa","silagem","Cor nao paga conta; qualidade paga","Aula visual","Instagram","Quer avaliação de silagem?"
2,quarta,"Sorgo aguenta seca, mas não faz milagre","sorgo","Sorgo reduz risco quando entra no sistema certo","Reel técnico simples","Instagram/YouTube Shorts","Comente seca"
2,quinta,"Custo por tonelada x custo por litro","leite/economia","A silagem barata pode sair cara no leite","Quadro com conta","Facebook/Instagram","Peça a planilha"
2,sexta,"Cocho limpo ou sobra? O que isso diz da dieta","nutricao","O cocho conta a verdade da fazenda","Bastidor","Instagram","Mostre seu cocho"
2,sabado,"Milho, sorgo e capiaçu: cada um no seu lugar","comparativo","O erro e achar que uma cultura resolve tudo","Mesa comparativa","YouTube Shorts/Instagram","Salve o comparativo"
3,segunda,"Reserva alimentar para seca","clima","A seca nao avisa, mas a falta de silo cobra","Reel de alerta","Facebook/Instagram","Planeje antes"
3,terca,"Matéria seca em linguagem de produtor","silagem tecnica","Se colher errado, paga frete de agua","Aula curta","Instagram/YouTube Shorts","Comente se mede MS"
3,quarta,"Por que o sorgo cresce na pecuária","tendencia","Custo, seca e alimentação animal puxam o sorgo","Noticia comentada","Facebook/Instagram","Quer testar na sua região?"
3,quinta,"Pequeno produtor de leite também pode planejar volumoso","leite familiar","Não precisa ser grande para fazer conta certa","Video simples","Facebook","Fale quantas vacas tem"
3,sexta,"O erro no ponto de corte do capiaçu","capiaçu","Cortar tarde demais pode derrubar qualidade","Reel técnico","Instagram","Salve para o corte"
3,sabado,"Silagem no Sul: milho, sorgo ou mistura?","sul/sudeste","A resposta muda conforme clima, solo e objetivo","Video comparativo","Instagram/Facebook","Diga sua cidade"
4,segunda,"Quanto de volumoso preciso para passar o inverno?","planejamento","O produtor que sabe a conta dorme melhor","Aula com fórmula simples","YouTube Shorts/Facebook","Peça a conta"
4,terca,"Dieta começa na lavoura","nutricao/lavoura","O leite começa antes do cocho","Reel visual lavoura-cocho","Instagram","Compartilhe com produtor"
4,quarta,"Sorgo para corte e leite: o que muda?","sorgo","Não é o mesmo objetivo para todo rebanho","Aula curta","Instagram/Facebook","Chame no direct"
4,quinta,"Perda no silo: o prejuízo invisível","silagem","Você produziu, pagou, ensilou e perdeu","Video problema-solucao","Facebook/Instagram","Quer checklist?"
4,sexta,"O produtor que planeja 2027 agora compra melhor","comercial","Semente, janela e clima nao esperam","Video de venda consultiva","Facebook/Instagram","Fale com Campo Soberano"
4,sabado,"Top 5 perguntas sobre sorgo para silagem","faq","Respondendo dúvidas reais de produtor","FAQ em cortes","Instagram/YouTube Shorts","Mande sua pergunta"
